Gene,Cellular_source_primary,Cellular_source_support,Functional_role_1sentence,Type2_axis_link,Key_reference,Evidence_level,Notes
CLCA1,Airway epithelial secretory cells,Goblet-like metaplastic epithelium,"IL-13–responsive epithelial marker linked to mucus/secretory programs in asthma and used here to anchor the epithelial T2-high axis.",IL-13/mucus,"PMCID:PMC9597202",Primary,"Open-access evidence for CLCA1–IL-13 relationship in pediatric asthma."
SERPINB2,Airway epithelial cells,Type-2 airway inflammation context,"Inflammation-associated epithelial marker used as part of the locked T2-high molecular axis; functional interpretation is limited to the T2-associated airway epithelial program.",T2-associated epithelial program,"Front Immunol. 2025. doi:10.3389/fimmu.2025.1669777",Primary,"Replace with asthma-specific SERPINB2 paper later if preferred; keep conservative wording."
CPA3,Mast cells,Intraepithelial mast cell programs,"Mast-cell protease marker anchoring the signature to mast-cell effector biology relevant to allergic airway disease and remodeling.",mast/effector,"Int J Mol Sci. 2022;23(22):14466. doi:10.3390/ijms232214466; PMID:36430941",Review,"Review-level is acceptable for S2; swap to CPA3-in-asthma primary study if desired."
CCR3,Eosinophils,Basophils/Th2-associated recruitment axis,"Chemokine receptor representing eosinophil trafficking axis implicated in Th2-mediated airway inflammation.",eosinophil/chemotaxis,"Mucosal Immunol. 2013;6:718-727. doi:10.1038/mi.2012.109; PMID:23149666",Primary,"Pairs naturally with CCL24."
HDC,Mast cells / basophils,Histamine synthesis pathway,"Histamine-synthesis enzyme anchoring the signature to mast-cell/basophil effector mediator biology in allergic airway responses.",mast/effector,"Am J Respir Crit Care Med. 2002. doi:10.1164/rccm.200206-619OC",Primary,"Direct asthma-model evidence that HDC disruption reduces airway eosinophilia."
MUC5AC,Airway epithelial goblet cells,IL-13–induced mucus secretory cells,"Gel-forming mucin reflecting IL-13–driven goblet-cell/mucus program and pathological mucus hypersecretion in asthma.",IL-13/mucus,"JCI Insight. 2021;6(5):e139019. doi:10.1172/jci.insight.139019; PMID:33682796",Primary,"Strong mechanistic support for IL-13–linked mucus program."
IL4,Th2 cells,IL-4/STAT6 signaling axis,"Canonical type 2 cytokine anchoring the score to Th2/STAT6 signaling context; not interpreted as differential expression direction.",Th2/STAT6,"Pediatr Allergy Immunol. 2002;13:1-14. PMCID:PMC59570",Review,"Classic overview of IL-4 roles in asthma; conservative anchor."
MUC5B,Airway epithelial secretory cells,Airway mucus gel composition,"Gel-forming mucin representing airway mucus composition and remodeling context; interpreted jointly with MUC5AC within asthma mucus biology.",mucus/remodeling,"Chest. 2017;152(3):S??. PMID:29186064",Review,"Review covering both MUC5AC and MUC5B in asthma mucus dysfunction."
IL13,Th2/ILC2 axis,Airway epithelial downstream effects,"Canonical type 2 cytokine that drives epithelial mucus programs and remodeling context in asthma; used as a pathway anchor for the epithelial component.",IL-13/mucus,"JCI Insight. 2021;6(5):e139019. doi:10.1172/jci.insight.139019; PMID:33682796",Primary,"Using the same high-quality IL-13→mucus anchor keeps S2 consistent."
CCL24,Epithelial/immune interface,CCR3 chemotaxis axis,"Eotaxin-2 chemokine involved in eosinophil recruitment pathways, positioning the signature on an eosinophil-trafficking axis.",eosinophil/chemotaxis,"Mucosal Immunol. 2013;6:718-727. doi:10.1038/mi.2012.109; PMID:23149666",Primary,"Directly supports CCL24-driven migration axis context."
POSTN,Airway structural compartment (ECM niche),Type-2 biomarker and remodeling context,"Matricellular protein widely used as a type 2–associated biomarker and remodeling-context readout in asthma; interpreted as ECM/remodeling component of the axis.",ECM/remodeling,"Eur Respir J. 2021. PMID:32907887",Primary,"If you want a stronger mechanistic link (IL-13→POSTN), swap to a dedicated POSTN mechanistic paper later."